sales,prix,date,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_WI
130,1.25,2011-01-29,Saturday,1,1,2011,,,,,0
153,1.25,2011-01-30,Sunday,2,1,2011,,,,,0
119,1.25,2011-01-31,Monday,3,1,2011,,,,,0
80,1.25,2011-02-01,Tuesday,4,2,2011,,,,,0
80,1.25,2011-02-02,Wednesday,5,2,2011,,,,,1
128,1.25,2011-02-03,Thursday,6,2,2011,,,,,1
174,1.25,2011-02-04,Friday,7,2,2011,,,,,0
250,1.25,2011-02-05,Saturday,1,2,2011,,,,,1
228,1.25,2011-02-06,Sunday,2,2,2011,SuperBowl,Sporting,,,1
22,1.25,2011-02-07,Monday,3,2,2011,,,,,0
5,1.25,2011-02-08,Tuesday,4,2,2011,,,,,1
0,1.25,2011-02-09,Wednesday,5,2,2011,,,,,1
0,1.25,2011-02-10,Thursday,6,2,2011,,,,,0
0,1.25,2011-02-11,Friday,7,2,2011,,,,,1
0,1.25,2011-02-12,Saturday,1,2,2011,,,,,1
0,1.25,2011-02-13,Sunday,2,2,2011,,,,,0
0,1.25,2011-02-14,Monday,3,2,2011,ValentinesDay,Cultural,,,1
0,1.25,2011-02-15,Tuesday,4,2,2011,,,,,1
0,1.25,2011-02-16,Wednesday,5,2,2011,,,,,0
0,1.25,2011-02-17,Thursday,6,2,2011,,,,,0
0,1.25,2011-02-18,Friday,7,2,2011,,,,,0
0,1.25,2011-02-19,Saturday,1,2,2011,,,,,0
0,1.25,2011-02-20,Sunday,2,2,2011,,,,,0
0,1.25,2011-02-21,Monday,3,2,2011,PresidentsDay,National,,,0
0,1.25,2011-02-22,Tuesday,4,2,2011,,,,,0
0,1.25,2011-02-23,Wednesday,5,2,2011,,,,,0
0,1.25,2011-02-24,Thursday,6,2,2011,,,,,0
0,1.25,2011-02-25,Friday,7,2,2011,,,,,0
0,1.25,2011-02-26,Saturday,1,2,2011,,,,,0
0,1.25,2011-02-27,Sunday,2,2,2011,,,,,0
0,1.25,2011-02-28,Monday,3,2,2011,,,,,0
0,1.25,2011-03-01,Tuesday,4,3,2011,,,,,0
0,1.25,2011-03-02,Wednesday,5,3,2011,,,,,1
0,1.25,2011-03-03,Thursday,6,3,2011,,,,,1
0,1.25,2011-03-04,Friday,7,3,2011,,,,,0
0,1.25,2011-03-05,Saturday,1,3,2011,,,,,1
0,1.25,2011-03-06,Sunday,2,3,2011,,,,,1
0,1.25,2011-03-07,Monday,3,3,2011,,,,,0
0,1.25,2011-03-08,Tuesday,4,3,2011,,,,,1
0,1.25,2011-03-09,Wednesday,5,3,2011,LentStart,Religious,,,1
0,1.25,2011-03-10,Thursday,6,3,2011,,,,,0
0,1.25,2011-03-11,Friday,7,3,2011,,,,,1
0,1.25,2011-03-12,Saturday,1,3,2011,,,,,1
0,1.25,2011-03-13,Sunday,2,3,2011,,,,,0
0,1.25,2011-03-14,Monday,3,3,2011,,,,,1
0,1.25,2011-03-15,Tuesday,4,3,2011,,,,,1
0,1.25,2011-03-16,Wednesday,5,3,2011,LentWeek2,Religious,,,0
0,1.25,2011-03-17,Thursday,6,3,2011,StPatricksDay,Cultural,,,0
0,1.25,2011-03-18,Friday,7,3,2011,,,,,0
0,1.25,2011-03-19,Saturday,1,3,2011,,,,,0
0,1.25,2011-03-20,Sunday,2,3,2011,Purim End,Religious,,,0
0,1.25,2011-03-21,Monday,3,3,2011,,,,,0
0,1.25,2011-03-22,Tuesday,4,3,2011,,,,,0
0,1.25,2011-03-23,Wednesday,5,3,2011,,,,,0
0,1.25,2011-03-24,Thursday,6,3,2011,,,,,0
0,1.25,2011-03-25,Friday,7,3,2011,,,,,0
0,1.25,2011-03-26,Saturday,1,3,2011,,,,,0
0,1.25,2011-03-27,Sunday,2,3,2011,,,,,0
0,1.25,2011-03-28,Monday,3,3,2011,,,,,0
0,1.25,2011-03-29,Tuesday,4,3,2011,,,,,0
0,1.25,2011-03-30,Wednesday,5,3,2011,,,,,0
0,1.25,2011-03-31,Thursday,6,3,2011,,,,,0
0,1.25,2011-04-01,Friday,7,4,2011,,,,,0
0,1.25,2011-04-02,Saturday,1,4,2011,,,,,1
0,1.25,2011-04-03,Sunday,2,4,2011,,,,,1
0,1.25,2011-04-04,Monday,3,4,2011,,,,,0
0,1.25,2011-04-05,Tuesday,4,4,2011,,,,,1
0,1.25,2011-04-06,Wednesday,5,4,2011,,,,,1
0,1.25,2011-04-07,Thursday,6,4,2011,,,,,0
0,1.25,2011-04-08,Friday,7,4,2011,,,,,1
0,1.25,2011-04-09,Saturday,1,4,2011,,,,,1
0,1.25,2011-04-10,Sunday,2,4,2011,,,,,0
0,1.25,2011-04-11,Monday,3,4,2011,,,,,1
0,1.25,2011-04-12,Tuesday,4,4,2011,,,,,1
0,1.25,2011-04-13,Wednesday,5,4,2011,,,,,0
0,1.25,2011-04-14,Thursday,6,4,2011,,,,,1
0,1.25,2011-04-15,Friday,7,4,2011,,,,,1
0,1.25,2011-04-16,Saturday,1,4,2011,,,,,0
0,1.25,2011-04-17,Sunday,2,4,2011,,,,,0
0,1.25,2011-04-18,Monday,3,4,2011,,,,,0
0,1.25,2011-04-19,Tuesday,4,4,2011,,,,,0
0,1.25,2011-04-20,Wednesday,5,4,2011,,,,,0
0,1.25,2011-04-21,Thursday,6,4,2011,,,,,0
0,1.25,2011-04-22,Friday,7,4,2011,,,,,0
0,1.25,2011-04-23,Saturday,1,4,2011,,,,,0
0,1.25,2011-04-24,Sunday,2,4,2011,OrthodoxEaster,Religious,Easter,Cultural,0
0,1.25,2011-04-25,Monday,3,4,2011,,,,,0
0,1.25,2011-04-26,Tuesday,4,4,2011,Pesach End,Religious,,,0
0,1.25,2011-04-27,Wednesday,5,4,2011,,,,,0
0,1.25,2011-04-28,Thursday,6,4,2011,,,,,0
0,1.25,2011-04-29,Friday,7,4,2011,,,,,0
0,1.25,2011-04-30,Saturday,1,4,2011,,,,,0
0,1.25,2011-05-01,Sunday,2,5,2011,,,,,0
0,1.25,2011-05-02,Monday,3,5,2011,,,,,1
0,1.25,2011-05-03,Tuesday,4,5,2011,,,,,1
0,1.25,2011-05-04,Wednesday,5,5,2011,,,,,0
0,1.25,2011-05-05,Thursday,6,5,2011,Cinco De Mayo,Cultural,,,1
0,1.25,2011-05-06,Friday,7,5,2011,,,,,1
0,1.25,2011-05-07,Saturday,1,5,2011,,,,,0
0,1.25,2011-05-08,Sunday,2,5,2011,Mother's day,Cultural,,,1
0,1.25,2011-05-09,Monday,3,5,2011,,,,,1
0,1.25,2011-05-10,Tuesday,4,5,2011,,,,,0
0,1.25,2011-05-11,Wednesday,5,5,2011,,,,,1
0,1.25,2011-05-12,Thursday,6,5,2011,,,,,1
0,1.25,2011-05-13,Friday,7,5,2011,,,,,0
0,1.25,2011-05-14,Saturday,1,5,2011,,,,,1
0,1.25,2011-05-15,Sunday,2,5,2011,,,,,1
0,1.25,2011-05-16,Monday,3,5,2011,,,,,0
0,1.25,2011-05-17,Tuesday,4,5,2011,,,,,0
0,1.25,2011-05-18,Wednesday,5,5,2011,,,,,0
0,1.25,2011-05-19,Thursday,6,5,2011,,,,,0
0,1.25,2011-05-20,Friday,7,5,2011,,,,,0
0,1.25,2011-05-21,Saturday,1,5,2011,,,,,0
0,1.25,2011-05-22,Sunday,2,5,2011,,,,,0
0,1.25,2011-05-23,Monday,3,5,2011,,,,,0
0,1.25,2011-05-24,Tuesday,4,5,2011,,,,,0
0,1.25,2011-05-25,Wednesday,5,5,2011,,,,,0
0,1.25,2011-05-26,Thursday,6,5,2011,,,,,0
0,1.25,2011-05-27,Friday,7,5,2011,,,,,0
0,1.25,2011-05-28,Saturday,1,5,2011,,,,,0
0,1.25,2011-05-29,Sunday,2,5,2011,,,,,0
0,1.25,2011-05-30,Monday,3,5,2011,MemorialDay,National,,,0
0,1.25,2011-05-31,Tuesday,4,5,2011,NBAFinalsStart,Sporting,,,0
0,1.25,2011-06-01,Wednesday,5,6,2011,,,,,0
0,1.25,2011-06-02,Thursday,6,6,2011,,,,,1
0,1.25,2011-06-03,Friday,7,6,2011,,,,,1
0,1.25,2011-06-04,Saturday,1,6,2011,,,,,0
0,1.25,2011-06-05,Sunday,2,6,2011,,,,,1
0,1.25,2011-06-06,Monday,3,6,2011,,,,,1
0,1.25,2011-06-07,Tuesday,4,6,2011,,,,,0
0,1.25,2011-06-08,Wednesday,5,6,2011,,,,,1
0,1.25,2011-06-09,Thursday,6,6,2011,,,,,1
0,1.25,2011-06-10,Friday,7,6,2011,,,,,0
0,1.25,2011-06-11,Saturday,1,6,2011,,,,,1
0,1.25,2011-06-12,Sunday,2,6,2011,NBAFinalsEnd,Sporting,,,1
0,1.25,2011-06-13,Monday,3,6,2011,,,,,0
0,1.25,2011-06-14,Tuesday,4,6,2011,,,,,1
0,1.25,2011-06-15,Wednesday,5,6,2011,,,,,1
0,1.25,2011-06-16,Thursday,6,6,2011,,,,,0
0,1.25,2011-06-17,Friday,7,6,2011,,,,,0
0,1.25,2011-06-18,Saturday,1,6,2011,,,,,0
0,1.25,2011-06-19,Sunday,2,6,2011,Father's day,Cultural,,,0
0,1.25,2011-06-20,Monday,3,6,2011,,,,,0
0,1.25,2011-06-21,Tuesday,4,6,2011,,,,,0
0,1.25,2011-06-22,Wednesday,5,6,2011,,,,,0
0,1.25,2011-06-23,Thursday,6,6,2011,,,,,0
0,1.25,2011-06-24,Friday,7,6,2011,,,,,0
0,1.25,2011-06-25,Saturday,1,6,2011,,,,,0
0,1.25,2011-06-26,Sunday,2,6,2011,,,,,0
0,1.25,2011-06-27,Monday,3,6,2011,,,,,0
0,1.25,2011-06-28,Tuesday,4,6,2011,,,,,0
0,1.25,2011-06-29,Wednesday,5,6,2011,,,,,0
0,1.25,2011-06-30,Thursday,6,6,2011,,,,,0
0,1.25,2011-07-01,Friday,7,7,2011,,,,,0
0,1.25,2011-07-02,Saturday,1,7,2011,,,,,1
0,1.25,2011-07-03,Sunday,2,7,2011,,,,,1
0,1.25,2011-07-04,Monday,3,7,2011,IndependenceDay,National,,,0
0,1.25,2011-07-05,Tuesday,4,7,2011,,,,,1
0,1.25,2011-07-06,Wednesday,5,7,2011,,,,,1
0,1.25,2011-07-07,Thursday,6,7,2011,,,,,0
0,1.25,2011-07-08,Friday,7,7,2011,,,,,1
0,1.25,2011-07-09,Saturday,1,7,2011,,,,,1
0,1.25,2011-07-10,Sunday,2,7,2011,,,,,0
0,1.25,2011-07-11,Monday,3,7,2011,,,,,1
0,1.25,2011-07-12,Tuesday,4,7,2011,,,,,1
0,1.25,2011-07-13,Wednesday,5,7,2011,,,,,0
0,1.25,2011-07-14,Thursday,6,7,2011,,,,,1
0,1.25,2011-07-15,Friday,7,7,2011,,,,,1
0,1.25,2011-07-16,Saturday,1,7,2011,,,,,0
0,1.25,2011-07-17,Sunday,2,7,2011,,,,,0
0,1.25,2011-07-18,Monday,3,7,2011,,,,,0
0,1.25,2011-07-19,Tuesday,4,7,2011,,,,,0
0,1.25,2011-07-20,Wednesday,5,7,2011,,,,,0
0,1.25,2011-07-21,Thursday,6,7,2011,,,,,0
0,1.25,2011-07-22,Friday,7,7,2011,,,,,0
0,1.25,2011-07-23,Saturday,1,7,2011,,,,,0
0,1.25,2011-07-24,Sunday,2,7,2011,,,,,0
0,1.25,2011-07-25,Monday,3,7,2011,,,,,0
0,1.25,2011-07-26,Tuesday,4,7,2011,,,,,0
0,1.25,2011-07-27,Wednesday,5,7,2011,,,,,0
0,1.25,2011-07-28,Thursday,6,7,2011,,,,,0
0,1.25,2011-07-29,Friday,7,7,2011,,,,,0
0,1.25,2011-07-30,Saturday,1,7,2011,,,,,0
0,1.25,2011-07-31,Sunday,2,7,2011,,,,,0
0,1.25,2011-08-01,Monday,3,8,2011,Ramadan starts,Religious,,,0
0,1.25,2011-08-02,Tuesday,4,8,2011,,,,,1
0,1.25,2011-08-03,Wednesday,5,8,2011,,,,,1
0,1.25,2011-08-04,Thursday,6,8,2011,,,,,0
0,1.25,2011-08-05,Friday,7,8,2011,,,,,1
0,1.25,2011-08-06,Saturday,1,8,2011,,,,,1
0,1.25,2011-08-07,Sunday,2,8,2011,,,,,0
0,1.25,2011-08-08,Monday,3,8,2011,,,,,1
0,1.25,2011-08-09,Tuesday,4,8,2011,,,,,1
0,1.25,2011-08-10,Wednesday,5,8,2011,,,,,0
0,1.25,2011-08-11,Thursday,6,8,2011,,,,,1
0,1.25,2011-08-12,Friday,7,8,2011,,,,,1
0,1.25,2011-08-13,Saturday,1,8,2011,,,,,0
0,1.25,2011-08-14,Sunday,2,8,2011,,,,,1
0,1.25,2011-08-15,Monday,3,8,2011,,,,,1
0,1.25,2011-08-16,Tuesday,4,8,2011,,,,,0
0,1.25,2011-08-17,Wednesday,5,8,2011,,,,,0
0,1.25,2011-08-18,Thursday,6,8,2011,,,,,0
0,1.25,2011-08-19,Friday,7,8,2011,,,,,0
0,1.25,2011-08-20,Saturday,1,8,2011,,,,,0
0,1.25,2011-08-21,Sunday,2,8,2011,,,,,0
0,1.25,2011-08-22,Monday,3,8,2011,,,,,0
0,1.25,2011-08-23,Tuesday,4,8,2011,,,,,0
0,1.25,2011-08-24,Wednesday,5,8,2011,,,,,0
0,1.25,2011-08-25,Thursday,6,8,2011,,,,,0
0,1.25,2011-08-26,Friday,7,8,2011,,,,,0
0,1.25,2011-08-27,Saturday,1,8,2011,,,,,0
0,1.25,2011-08-28,Sunday,2,8,2011,,,,,0
0,1.25,2011-08-29,Monday,3,8,2011,,,,,0
0,1.25,2011-08-30,Tuesday,4,8,2011,,,,,0
0,1.25,2011-08-31,Wednesday,5,8,2011,Eid al-Fitr,Religious,,,0
0,1.25,2011-09-01,Thursday,6,9,2011,,,,,0
0,1.25,2011-09-02,Friday,7,9,2011,,,,,1
0,1.25,2011-09-03,Saturday,1,9,2011,,,,,1
0,1.25,2011-09-04,Sunday,2,9,2011,,,,,0
0,1.25,2011-09-05,Monday,3,9,2011,LaborDay,National,,,1
0,1.25,2011-09-06,Tuesday,4,9,2011,,,,,1
0,1.25,2011-09-07,Wednesday,5,9,2011,,,,,0
0,1.25,2011-09-08,Thursday,6,9,2011,,,,,1
0,1.25,2011-09-09,Friday,7,9,2011,,,,,1
0,1.25,2011-09-10,Saturday,1,9,2011,,,,,0
0,1.25,2011-09-11,Sunday,2,9,2011,,,,,1
0,1.25,2011-09-12,Monday,3,9,2011,,,,,1
0,1.25,2011-09-13,Tuesday,4,9,2011,,,,,0
0,1.25,2011-09-14,Wednesday,5,9,2011,,,,,1
0,1.25,2011-09-15,Thursday,6,9,2011,,,,,1
0,1.25,2011-09-16,Friday,7,9,2011,,,,,0
0,1.28,2011-09-17,Saturday,1,9,2011,,,,,0
0,1.28,2011-09-18,Sunday,2,9,2011,,,,,0
0,1.28,2011-09-19,Monday,3,9,2011,,,,,0
0,1.28,2011-09-20,Tuesday,4,9,2011,,,,,0
0,1.28,2011-09-21,Wednesday,5,9,2011,,,,,0
0,1.28,2011-09-22,Thursday,6,9,2011,,,,,0
111,1.28,2011-09-23,Friday,7,9,2011,,,,,0
168,1.28,2011-09-24,Saturday,1,9,2011,,,,,0
162,1.28,2011-09-25,Sunday,2,9,2011,,,,,0
127,1.28,2011-09-26,Monday,3,9,2011,,,,,0
72,1.28,2011-09-27,Tuesday,4,9,2011,,,,,0
58,1.28,2011-09-28,Wednesday,5,9,2011,,,,,0
100,1.28,2011-09-29,Thursday,6,9,2011,,,,,0
133,1.28,2011-09-30,Friday,7,9,2011,,,,,0
166,1.28,2011-10-01,Saturday,1,10,2011,,,,,0
207,1.28,2011-10-02,Sunday,2,10,2011,,,,,1
116,1.28,2011-10-03,Monday,3,10,2011,,,,,1
85,1.28,2011-10-04,Tuesday,4,10,2011,,,,,0
102,1.28,2011-10-05,Wednesday,5,10,2011,,,,,1
102,1.28,2011-10-06,Thursday,6,10,2011,,,,,1
227,1.28,2011-10-07,Friday,7,10,2011,,,,,0
182,1.28,2011-10-08,Saturday,1,10,2011,,,,,1
176,1.28,2011-10-09,Sunday,2,10,2011,,,,,1
79,1.28,2011-10-10,Monday,3,10,2011,ColumbusDay,National,,,0
85,1.28,2011-10-11,Tuesday,4,10,2011,,,,,1
112,1.28,2011-10-12,Wednesday,5,10,2011,,,,,1
100,1.28,2011-10-13,Thursday,6,10,2011,,,,,0
155,1.28,2011-10-14,Friday,7,10,2011,,,,,1
168,1.28,2011-10-15,Saturday,1,10,2011,,,,,1
184,1.28,2011-10-16,Sunday,2,10,2011,,,,,0
110,1.28,2011-10-17,Monday,3,10,2011,,,,,0
75,1.28,2011-10-18,Tuesday,4,10,2011,,,,,0
53,1.28,2011-10-19,Wednesday,5,10,2011,,,,,0
71,1.28,2011-10-20,Thursday,6,10,2011,,,,,0
102,1.28,2011-10-21,Friday,7,10,2011,,,,,0
145,1.28,2011-10-22,Saturday,1,10,2011,,,,,0
97,1.28,2011-10-23,Sunday,2,10,2011,,,,,0
82,1.28,2011-10-24,Monday,3,10,2011,,,,,0
57,1.28,2011-10-25,Tuesday,4,10,2011,,,,,0
82,1.28,2011-10-26,Wednesday,5,10,2011,,,,,0
113,1.28,2011-10-27,Thursday,6,10,2011,,,,,0
168,1.28,2011-10-28,Friday,7,10,2011,,,,,0
173,1.28,2011-10-29,Saturday,1,10,2011,,,,,0
107,1.28,2011-10-30,Sunday,2,10,2011,,,,,0
55,1.28,2011-10-31,Monday,3,10,2011,Halloween,Cultural,,,0
69,1.28,2011-11-01,Tuesday,4,11,2011,,,,,0
94,1.28,2011-11-02,Wednesday,5,11,2011,,,,,1
100,1.28,2011-11-03,Thursday,6,11,2011,,,,,1
130,1.28,2011-11-04,Friday,7,11,2011,,,,,0
140,1.28,2011-11-05,Saturday,1,11,2011,,,,,1
149,1.28,2011-11-06,Sunday,2,11,2011,,,,,1
84,1.28,2011-11-07,Monday,3,11,2011,EidAlAdha,Religious,,,0
66,1.28,2011-11-08,Tuesday,4,11,2011,,,,,1
95,1.28,2011-11-09,Wednesday,5,11,2011,,,,,1
118,1.28,2011-11-10,Thursday,6,11,2011,,,,,0
125,1.28,2011-11-11,Friday,7,11,2011,VeteransDay,National,,,1
156,1.28,2011-11-12,Saturday,1,11,2011,,,,,1
114,1.28,2011-11-13,Sunday,2,11,2011,,,,,0
91,1.28,2011-11-14,Monday,3,11,2011,,,,,1
100,1.28,2011-11-15,Tuesday,4,11,2011,,,,,1
83,1.28,2011-11-16,Wednesday,5,11,2011,,,,,0
75,1.28,2011-11-17,Thursday,6,11,2011,,,,,0
119,1.28,2011-11-18,Friday,7,11,2011,,,,,0
106,1.28,2011-11-19,Saturday,1,11,2011,,,,,0
107,1.28,2011-11-20,Sunday,2,11,2011,,,,,0
91,1.28,2011-11-21,Monday,3,11,2011,,,,,0
92,1.28,2011-11-22,Tuesday,4,11,2011,,,,,0
163,1.28,2011-11-23,Wednesday,5,11,2011,,,,,0
101,1.28,2011-11-24,Thursday,6,11,2011,Thanksgiving,National,,,0
100,1.28,2011-11-25,Friday,7,11,2011,,,,,0
96,1.28,2011-11-26,Saturday,1,11,2011,,,,,0
91,1.28,2011-11-27,Sunday,2,11,2011,,,,,0
39,1.28,2011-11-28,Monday,3,11,2011,,,,,0
94,1.28,2011-11-29,Tuesday,4,11,2011,,,,,0
69,1.28,2011-11-30,Wednesday,5,11,2011,,,,,0
66,1.28,2011-12-01,Thursday,6,12,2011,,,,,0
173,1.28,2011-12-02,Friday,7,12,2011,,,,,1
200,1.28,2011-12-03,Saturday,1,12,2011,,,,,1
149,1.28,2011-12-04,Sunday,2,12,2011,,,,,0
112,1.28,2011-12-05,Monday,3,12,2011,,,,,1
93,1.28,2011-12-06,Tuesday,4,12,2011,,,,,1
81,1.28,2011-12-07,Wednesday,5,12,2011,,,,,0
126,1.28,2011-12-08,Thursday,6,12,2011,,,,,1
116,1.28,2011-12-09,Friday,7,12,2011,,,,,1
166,1.28,2011-12-10,Saturday,1,12,2011,,,,,0
128,1.28,2011-12-11,Sunday,2,12,2011,,,,,1
114,1.28,2011-12-12,Monday,3,12,2011,,,,,1
75,1.28,2011-12-13,Tuesday,4,12,2011,,,,,0
96,1.28,2011-12-14,Wednesday,5,12,2011,,,,,1
103,1.28,2011-12-15,Thursday,6,12,2011,,,,,1
178,1.28,2011-12-16,Friday,7,12,2011,,,,,0
148,1.28,2011-12-17,Saturday,1,12,2011,,,,,0
102,1.28,2011-12-18,Sunday,2,12,2011,,,,,0
222,1.28,2011-12-19,Monday,3,12,2011,,,,,0
2,1.28,2011-12-20,Tuesday,4,12,2011,,,,,0
0,1.28,2011-12-21,Wednesday,5,12,2011,,,,,0
4,1.28,2011-12-22,Thursday,6,12,2011,,,,,0
10,1.28,2011-12-23,Friday,7,12,2011,,,,,0
288,1.48,2011-12-24,Saturday,1,12,2011,,,,,0
0,1.48,2011-12-25,Sunday,2,12,2011,Christmas,National,,,0
86,1.48,2011-12-26,Monday,3,12,2011,,,,,0
106,1.48,2011-12-27,Tuesday,4,12,2011,,,,,0
31,1.48,2011-12-28,Wednesday,5,12,2011,Chanukah End,Religious,,,0
0,1.48,2011-12-29,Thursday,6,12,2011,,,,,0
0,1.48,2011-12-30,Friday,7,12,2011,,,,,0
374,1.28,2011-12-31,Saturday,1,12,2011,,,,,0
82,1.28,2012-01-01,Sunday,2,1,2012,NewYear,National,,,0
76,1.28,2012-01-02,Monday,3,1,2012,,,,,1
106,1.28,2012-01-03,Tuesday,4,1,2012,,,,,1
128,1.28,2012-01-04,Wednesday,5,1,2012,,,,,0
85,1.28,2012-01-05,Thursday,6,1,2012,,,,,1
96,1.28,2012-01-06,Friday,7,1,2012,,,,,1
145,1.28,2012-01-07,Saturday,1,1,2012,OrthodoxChristmas,Religious,,,0
134,1.28,2012-01-08,Sunday,2,1,2012,,,,,1
102,1.28,2012-01-09,Monday,3,1,2012,,,,,1
97,1.28,2012-01-10,Tuesday,4,1,2012,,,,,0
135,1.28,2012-01-11,Wednesday,5,1,2012,,,,,1
74,1.28,2012-01-12,Thursday,6,1,2012,,,,,1
143,1.28,2012-01-13,Friday,7,1,2012,,,,,0
197,1.28,2012-01-14,Saturday,1,1,2012,,,,,1
139,1.28,2012-01-15,Sunday,2,1,2012,,,,,1
115,1.28,2012-01-16,Monday,3,1,2012,MartinLutherKingDay,National,,,0
78,1.28,2012-01-17,Tuesday,4,1,2012,,,,,0
91,1.28,2012-01-18,Wednesday,5,1,2012,,,,,0
80,1.28,2012-01-19,Thursday,6,1,2012,,,,,0
109,1.28,2012-01-20,Friday,7,1,2012,,,,,0
193,1.28,2012-01-21,Saturday,1,1,2012,,,,,0
175,1.28,2012-01-22,Sunday,2,1,2012,,,,,0
70,1.28,2012-01-23,Monday,3,1,2012,,,,,0
0,1.28,2012-01-24,Tuesday,4,1,2012,,,,,0
0,1.28,2012-01-25,Wednesday,5,1,2012,,,,,0
0,1.28,2012-01-26,Thursday,6,1,2012,,,,,0
0,1.28,2012-01-27,Friday,7,1,2012,,,,,0
0,1.28,2012-01-28,Saturday,1,1,2012,,,,,0
0,1.28,2012-01-29,Sunday,2,1,2012,,,,,0
0,1.28,2012-01-30,Monday,3,1,2012,,,,,0
0,1.28,2012-01-31,Tuesday,4,1,2012,,,,,0
0,1.28,2012-02-01,Wednesday,5,2,2012,,,,,0
0,1.28,2012-02-02,Thursday,6,2,2012,,,,,1
0,1.28,2012-02-03,Friday,7,2,2012,,,,,1
0,1.28,2012-02-04,Saturday,1,2,2012,,,,,0
0,1.28,2012-02-05,Sunday,2,2,2012,SuperBowl,Sporting,,,1
0,1.28,2012-02-06,Monday,3,2,2012,,,,,1
0,1.28,2012-02-07,Tuesday,4,2,2012,,,,,0
0,1.28,2012-02-08,Wednesday,5,2,2012,,,,,1
0,1.28,2012-02-09,Thursday,6,2,2012,,,,,1
0,1.28,2012-02-10,Friday,7,2,2012,,,,,0
0,1.34,2012-02-11,Saturday,1,2,2012,,,,,1
0,1.34,2012-02-12,Sunday,2,2,2012,,,,,1
0,1.34,2012-02-13,Monday,3,2,2012,,,,,0
0,1.34,2012-02-14,Tuesday,4,2,2012,ValentinesDay,Cultural,,,1
0,1.34,2012-02-15,Wednesday,5,2,2012,,,,,1
63,1.34,2012-02-16,Thursday,6,2,2012,,,,,0
108,1.34,2012-02-17,Friday,7,2,2012,,,,,0
149,1.34,2012-02-18,Saturday,1,2,2012,,,,,0
120,1.34,2012-02-19,Sunday,2,2,2012,,,,,0
86,1.34,2012-02-20,Monday,3,2,2012,PresidentsDay,National,,,0
87,1.34,2012-02-21,Tuesday,4,2,2012,,,,,0
